Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
91.5,331575905,4,82893976.3,82895688.5,82886072,82898456,5429.9,"red_v0(const float *, float *, unsigned long)"
1.9,6842502,21,325833.4,325915.0,324795,327004,664.7,"red_v1(const float *, float *, unsigned long)"
1.9,6836518,21,325548.5,325467.0,324540,326844,684.5,"red_v3(const float *, float *, unsigned long)"
1.9,6832103,21,325338.2,325276.0,324348,326235,580.1,"red_v2(const float *, float *, unsigned long)"
1.0,3498419,22,159019.0,159038.0,158558,159453,245.1,"red_v6(const float4 *, float *, unsigned long)"
1.0,3463026,21,164906.0,165342.0,161598,169245,1961.1,"red_v4(const float4 *, float *, unsigned long)"
0.9,3336276,21,158870.3,158974.0,158270,159326,317.4,"red_v5(const float4 *, float *, unsigned long)"
